id,name,price,brand,cpu,memory,storage
1,HP EliteBook 820 G2,38842,HP,Intel Core i7-5500U,8GB,256GB
2,Lenovo IdeaPad Y700-15,9405,Lenovo,Intel Core i5-6300HQ,8GB,256GB
3,HP ProBook 640 G2,17589,HP,Intel Core i5-6200U,8GB,128GB
4,HP EliteBook 840 G3,31905,HP,Intel Core i5-6200U,8GB,256GB
5,HP EliteBook 820 G3,34890,HP,Intel Core i7-6500U,8GB,256GB
6,HP EliteBook x360 1030 G2,35985,HP,Intel Core i5-7200U,8GB,256GB
7,HP EliteBook 840 G3,25465,HP,Intel Core i5-6200U,8GB,256GB
8,Lenovo ThinkPad T470s,22164,Lenovo,Intel Core i5-7200U,8GB,256GB
9,HP EliteBook 840 G3,22209,HP,Intel Core i7-6500U,16GB,512GB
10,Lenovo ThinkPad P51,26715,Lenovo,Intel Core i7-7700HQ,8GB,512GB
11,HP ZBook 15 Studio G4,45175,HP,Intel Core i7-7820HQ,16GB,512GB
12,HP EliteBook x360 1030 G2,36495,HP,Intel Core i5-7200U,8GB,256GB
13,HP ZBook 15 G4,35979,HP,Intel Core i7-7700HQ,8GB,256GB
14,HP ZBook 17 G4,39615,HP,Intel Core i7-7700HQ,8GB,256GB
15,HP ZBook 15 Studio G4,41519,HP,Intel Core i7-7820HQ,16GB,512GB
16,HP EliteBook x360 1030 G2,37985,HP,Intel Core i5-7300U,8GB,256GB
17,HP EliteBook x360 1030 G2,39605,HP,Intel Core i5-7300U,8GB,256GB
18,HP EliteBook x360 1030 G2,41545,HP,Intel Core i5-7200U,8GB,512GB
19,HP EliteBook x360 1030 G2,43930,HP,Intel Core i7-7600U,8GB,256GB
20,HP EliteBook x360 1030 G2,9990,HP,Intel Core i7-7600U,16GB,512GB
21,HP EliteBook x360 1030 G2,53179,HP,Intel Core i7-7600U,16GB,512GB
22,HP EliteBook 850 G4,32425,HP,Intel Core i7-7500U,16GB,1TB
23,HP ZBook 15 Studio G4,51395,HP,Intel Core i7-7820HQ,16GB,512GB
24,HP EliteBook x360 1030 G2,38885,HP,Intel Core i5-7200U,8GB,256GB
25,HP ZBook 15 G3,39069,HP,Intel Core i7-6820HQ,16GB,512GB
26,HP ProBook 450 G5,9980,HP,Intel Core i5-8250U,8GB,256GB
27,HP ProBook 470 G5,12145,HP,Intel Core i5-8250U,8GB,256GB
