,Company,Pages,Sustainability Report mention,first5sus,Annual Report mention,first5annual,exclusion,Year,bs_score,sustainability_score
0,86,6,1,1,0,0,1,2021,2,0
1,16357,387,1,1,1,1,0,2018,2,0
2,16447,16,1,1,0,0,1,2021,2,0
3,16423,133,1,1,1,0,0,2020,2,0
4,16456,72,1,1,1,0,0,2019,2,0
5,4047,60,1,1,1,1,0,2020,2,0
6,16468,7,1,1,0,0,1,2020,2,0
7,75,29,1,1,1,0,1,2016,2,0
8,84,80,1,1,1,0,0,2019,2,0
9,17993,11,0,0,0,0,0,2020,0,0
10,547,50,1,1,0,0,0,2021,2,0
11,16359,78,1,1,1,0,1,2020,2,0
12,16356,151,0,0,1,0,0,2021,0,0
13,16347,94,1,1,1,0,1,2020,2,0
14,477,44,1,1,0,0,0,2021,2,0
15,16281,193,1,1,1,1,0,2020,2,0
16,16362,41,1,1,1,0,0,2020,2,0
17,4045,76,1,1,0,0,0,2021,2,0
18,4044,101,1,1,1,1,0,2021,2,0
19,16276,47,1,1,1,1,0,2015,2,0
20,474,137,1,1,1,1,0,2021,2,0
21,535,26,1,0,0,0,0,2021,0,0
22,16263,364,1,1,1,1,0,2020,2,0
23,77,13,1,1,1,0,1,2021,2,0
24,643,81,1,1,1,0,0,2021,2,0
25,74,23,1,0,0,0,1,2021,0,0
26,16257,342,1,0,1,1,0,2020,1,0
27,16237,21,0,0,1,1,0,2020,1,0
28,636,44,1,1,1,0,0,2021,2,0
29,635,34,1,1,1,1,0,2020,2,0
30,16229,179,1,1,1,1,0,2020,2,0
31,16217,55,1,1,1,0,0,2018,2,0
32,16212,68,1,1,1,0,0,2020,2,0
33,16208,24,1,1,1,0,1,2021,2,0
34,16207,77,1,1,0,0,0,2021,2,0
35,628,157,1,1,1,1,0,2021,2,0
36,16195,32,0,0,0,0,0,2021,0,0
37,16193,140,1,0,1,1,0,2020,1,0
38,16178,261,1,0,1,1,0,2020,1,0
39,16179,141,1,1,1,0,0,2021,2,0
40,16177,43,1,1,1,0,0,2020,2,0
41,17855,39,1,1,0,0,0,2021,2,0
42,626,317,0,0,1,0,0,2020,0,0
43,622,11,1,1,0,0,0,2021,2,0
44,624,225,1,0,0,0,0,2020,0,0
45,16166,427,0,0,1,0,0,2021,0,0
46,4042,92,1,1,1,0,0,2019,2,0
47,619,3,1,1,0,0,0,2020,2,0
48,16165,52,1,1,1,1,0,2020,2,0
49,17852,19,0,0,0,0,0,2021,0,0
50,618,244,1,1,1,1,0,2020,2,0
51,16152,90,0,0,0,0,0,2021,0,0
52,4040,67,1,1,0,0,0,2019,2,0
53,16150,287,1,1,1,1,0,2019,2,0
54,4039,276,1,0,1,1,0,2020,1,0
55,617,164,1,0,1,1,0,2020,1,0
56,16141,106,1,1,0,0,0,2019,2,0
57,16135,23,1,0,1,0,1,2017,0,0
58,16139,58,1,1,1,0,0,2020,2,0
59,17858,15,1,1,1,0,1,2021,2,0
60,16097,50,1,1,1,0,0,2000,2,0
61,612,202,1,1,1,0,0,2020,2,0
62,16126,78,1,0,1,0,0,2021,0,0
63,16123,19,1,0,1,0,1,2021,0,0
64,4036,43,0,0,1,1,0,2020,1,0
65,602,69,1,1,1,0,0,2021,2,0
66,16107,148,1,1,1,1,0,2020,2,0
67,16051,8,1,0,0,0,1,2021,0,0
68,63,330,1,1,1,1,0,2020,2,0
69,16018,25,1,1,0,0,0,2020,2,0
70,16038,15,1,1,0,0,1,2021,2,0
71,598,11,0,0,0,0,0,2020,0,0
72,605,172,0,0,1,1,0,2020,1,0
73,16017,10,1,1,0,0,1,2021,2,0
74,599,99,1,1,1,1,0,2020,2,0
75,449,280,1,0,1,1,0,2021,1,0
76,16001,314,0,0,1,0,0,2021,0,0
77,4035,54,0,0,0,0,0,2020,0,0
78,15998,15,1,0,0,0,0,2021,0,0
79,15989,15,1,1,1,0,1,2021,2,0
80,15988,53,1,1,1,0,1,2020,2,0
81,15995,144,0,0,0,0,0,2021,0,0
82,15993,134,1,1,1,0,0,2019,2,0
